Race Name,Date,Distance,Purpose,Location,Notes
NYC Marathon,2026-11-01,Marathon,Target,,A race. Full build toward this.
Tune-Up Half,2026-09-20,Half Marathon,Test,,B race. Assess fitness going into taper.
